 Timestamp, Code
 06/07/26 12:38:24 , NBIT: RSRQ: 65529  RSRP: 65456  
 06/07/26 12:38:24 , NBIT: SINR: 15  RSSI: 65463  
 06/07/26 12:38:24 , NBIT: TAC: 6182  Band: 3  
 06/07/26 12:38:24 , NBIT: Opr Mode: 2  Tx Power: 80  ECL: 0  
 06/07/26 12:38:24 , NBIT: Sleep Duration: 0  
 06/07/26 12:38:24 , NBIT: Rx Time(s): 103  
 06/07/26 12:38:24 , NBIT: Tx Time(s): 4  
 06/07/26 12:38:24 , LWM2M: Request: 9   : 0   : 7  Type: 10  Status: 0  
 06/07/26 12:38:24 , LWM2M: Request: 10377   : 0   : 3  Type: 10  Status: 0  
 06/07/26 12:38:24 , LWM2M: Request: 10376   : 1   : 6  Type: 10  Status: 0  
 06/07/26 12:38:25 , LWM2M: Request: 9   : 0   : 1  Type: 10  Status: 0  
 06/07/26 12:38:25 , LWM2M: Request: 9   : 0   : 9  Type: 10  Status: 0  
 06/07/26 12:38:27 , LWM2M: Observe: 10376   : 0   : 6  Status: 0  Index: 0  
 06/07/26 12:38:28 , LWM2M: Observe: 9   : 0   : 7  Status: 0  Index: 0  
 06/07/26 12:38:29 , LWM2M: Observe: 10377   : 0   : 3  Status: 0  Index: 0  
 06/07/26 12:38:31 , LWM2M: Observe: 10376   : 1   : 6  Status: 0  Index: 0  
 06/07/26 12:38:32 , LWM2M: Observe: 9   : 0   : 1  Status: 0  Index: 0  
 06/07/26 12:38:32 , NBIT: Transmission: 27820  
 06/07/26 12:38:33 , LWM2M: Observe: 9   : 0   : 9  Status: 0  Index: 0  
 06/07/26 12:38:42 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 1  
 06/07/26 12:38:42 , LWM2M: Notify: 9   : 0   : 1  Status: 1  Ack: 2  
 06/07/26 12:38:55 , NBIT: Lwm2m Recovered: 10  
 06/07/26 12:38:55 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 2  
 06/07/26 12:38:56 , NBIT: Cereg: 0  
 06/07/26 12:38:57 , NBIT: Cereg: 2  
 06/07/26 12:38:58 , NBIT: Cereg: 1  
 06/07/26 12:39:00 , NBIT: Cereg: 1  
 06/07/26 12:39:05 , NBIT: SINR: 0  RSSI: 19  
 06/07/26 12:39:07 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 1  
 06/07/26 12:39:13 , NBIT: Temp(C): 32  Volt(mV): 3007  Modem Power State: 2  
 06/07/26 12:39:22 , LWM2M: Request: 10376   : 0   : 6  Type: 10  Status: 0  
 06/07/26 12:39:23 , NBIT: Earfcn: 1391  
 06/07/26 12:39:23 , NBIT: Pci: 5  EarfcnOffset: 1  
 06/07/26 12:39:23 , NBIT: Cell ID: 0966C149  
 06/07/26 12:39:23 , NBIT: RSRQ: 65529  RSRP: 65455  
 06/07/26 12:39:23 , NBIT: SINR: 16  RSSI: 65462  
 06/07/26 12:39:23 , NBIT: TAC: 6182  Band: 3  
 06/07/26 12:39:23 , NBIT: Opr Mode: 2  Tx Power: 80  ECL: 0  
 06/07/26 12:39:23 , NBIT: Sleep Duration: 0  
